date_of_interest,days,CASE_COUNT,PROBABLE_CASE_COUNT,case count + probable,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,reinfection estimated,7 day average reinfections,7 day average integer reinfections,percent BA.1,BA.1 infections,BA.1 reinfections,other infections,other reinfections
1/1/2022,1,12069,1905,13974,68,37629,41922,2864,3056.714286,3057,96,13415,2935,559,122
1/2/2022,2,32551,3502,36053,69,38993,43326,2864,2960.142857,2960,98,35332,2901,721,59
1/3/2022,3,55058,5870,60928,77,39531,43877,2864,2863.428571,2863,98,59709,2806,1219,57
1/4/2022,4,49280,5427,54707,94,39463,43988,1216,2628.142857,2628,98,53613,2575,1094,53
1/5/2022,5,40284,4471,44755,87,37993,42317,1216,2392.857143,2393,98,43860,2345,895,48
1/6/2022,6,36400,3632,40032,98,36404,40425,1216,2157.571429,2158,98,39231,2115,801,43
1/7/2022,7,23222,2681,25903,105,35552,39479,1216,1922.285714,1922,98,25385,1884,518,38
1/8/2022,8,16206,2064,18270,108,36143,40093,1216,1686.857143,1687,98,17905,1653,365,34
1/9/2022,9,14363,1928,16291,126,33545,37269,1217,1451.571429,1452,99,16128,1437,163,15
1/10/2022,10,25068,3375,28443,122,29260,32629,1217,1216.285714,1216,99,28159,1204,284,12
1/11/2022,11,18546,2349,20895,147,24870,27798,565,1123.285714,1123,99,20686,1112,209,11
1/12/2022,12,18445,2194,20639,126,21750,24353,565,1030.285714,1030,99,20433,1020,206,10
1/13/2022,13,16100,1920,18020,135,18850,21209,565,937.2857143,937,99,17840,928,180,9
1/14/2022,14,13293,1634,14927,139,17432,19641,565,844.2857143,844,99,14778,836,149,8
1/15/2022,15,6760,882,7642,105,16082,18122,565,751.2857143,751,99,7566,743,76,8
1/16/2022,16,6892,902,7794,126,15015,16909,566,658.2857143,658,99,7716,651,78,7
1/17/2022,17,9835,1238,11073,111,12839,14427,566,565.2857143,565,99,10962,559,111,6
1/18/2022,18,10923,1192,12115,125,11750,13173,274,523.7142857,524,99,11994,519,121,5
1/19/2022,19,9036,974,10010,100,10406,11654,274,482.1428571,482,99,9910,477,100,5
1/20/2022,20,7044,722,7766,119,9112,10190,274,440.5714286,441,99,7688,437,78,4
1/21/2022,21,5798,645,6443,123,8041,8978,274,399,399,99,6379,395,64,4
1/22/2022,22,3633,518,4151,88,7594,8479,275,357.5714286,358,99,4109,354,42,4
1/23/2022,23,3399,500,3899,106,7095,7922,275,316,316,98,3821,310,78,6
1/24/2022,24,6016,648,6664,119,6550,7293,275,274.4285714,274,98,6531,269,133,5
1/25/2022,25,4762,469,5231,106,5670,6309,141,255.4285714,255,98,5126,250,105,5
1/26/2022,26,4197,420,4617,114,4978,5539,141,236.4285714,236,98,4525,231,92,5
1/27/2022,27,3633,356,3989,81,4491,4999,141,217.4285714,217,98,3909,213,80,4
1/28/2022,28,2725,308,3033,101,4052,4512,141,198.4285714,198,98,2972,194,61,4
