date_of_interest,days,CASE_COUNT,PROBABLE_CASE_COUNT,case count + probable,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,reinfection estimated,7 day average reinfections,7 day average integer reinfections,percent alpha (B.1.1.7),alpha infections,alpha reinfections,other infections,other reinfections
1/17/2021,1,2919,1034,3953,59,4694,5823,29,28.42857143,28,2,79,1,3874,27
1/18/2021,2,4646,1323,5969,79,4511,5637,29,28.57142857,29,2,119,1,5850,28
1/19/2021,3,5140,1338,6478,88,4497,5644,29,28.71428571,29,2,130,1,6348,28
1/20/2021,4,4909,1272,6181,80,4458,5613,29,28.85714286,29,2,124,1,6057,28
1/21/2021,5,4942,1246,6188,69,4412,5584,29,29,29,2,124,1,6064,28
1/22/2021,6,4715,1225,5940,87,4393,5586,29,29,29,2,119,1,5821,28
1/23/2021,7,3461,1028,4489,85,4390,5600,29,29,29,2,90,1,4399,28
1/24/2021,8,2927,967,3894,74,4391,5591,29,29,29,3,117,1,3777,28
1/25/2021,9,5808,1417,7225,71,4557,5771,30,29.14285714,29,3,217,1,7008,28
1/26/2021,10,4861,1236,6097,86,4518,5716,23,28.28571429,28,3,183,1,5914,27
1/27/2021,11,5003,1198,6201,95,4531,5719,23,27.42857143,27,3,186,1,6015,26
1/28/2021,12,4778,1156,5934,90,4508,5683,23,26.57142857,27,3,178,1,5756,26
1/29/2021,13,3667,1001,4668,90,4358,5501,23,25.71428571,26,3,140,1,4528,25
1/30/2021,14,2876,821,3697,84,4274,5388,23,24.85714286,25,3,111,1,3586,24
1/31/2021,15,2895,948,3843,76,4270,5381,23,24,24,8,307,2,3536,22
2/1/2021,16,977,547,1524,66,3580,4566,24,23.14285714,23,8,122,2,1402,21
2/2/2021,17,2660,535,3195,82,3265,4152,26,23.57142857,24,8,256,2,2939,22
2/3/2021,18,5144,1083,6227,80,3285,4155,26,24,24,8,498,2,5729,22
2/4/2021,19,4830,1111,5941,97,3293,4156,26,24.42857143,24,8,475,2,5466,22
2/5/2021,20,4161,1115,5276,85,3363,4243,26,24.85714286,25,8,422,2,4854,23
2/6/2021,21,3080,863,3943,81,3392,4278,26,25.28571429,25,8,315,2,3628,23
2/7/2021,22,1645,722,2367,80,3214,4068,26,25.71428571,26,9,213,2,2154,24
2/8/2021,23,4431,1166,5597,86,3707,4649,26,26,26,9,504,2,5093,24
2/9/2021,24,3723,1017,4740,71,3859,4870,26,26,26,9,427,2,4313,24
2/10/2021,25,3777,984,4761,81,3664,4661,26,26,26,9,428,2,4333,24
2/11/2021,26,3411,915,4326,99,3461,4430,27,26.14285714,26,9,389,2,3937,24
2/12/2021,27,3315,840,4155,83,3340,4270,27,26.28571429,26,9,374,2,3781,24
2/13/2021,28,2209,806,3015,87,3216,4137,27,26.42857143,26,9,271,2,2744,24
2/14/2021,29,1896,794,2690,83,3252,4183,27,26.57142857,27,8,215,2,2475,25
2/15/2021,30,2861,694,3555,85,3027,3892,27,26.71428571,27,8,284,2,3271,25
2/16/2021,31,3722,950,4672,86,3027,3882,27,26.85714286,27,8,374,2,4298,25
2/17/2021,32,3435,1024,4459,85,2978,3839,27,27,27,8,357,2,4102,25
