date_of_interest,days,CASE_COUNT,PROBABLE_CASE_COUNT,case count + probable,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,reinfection estimated,7 day average reinfections,7 day average reinfections integer,Delta percent,delta infections,delta reinfections,other infections,other reinfections
11/21/2021,1,841,311,1152,4,1147,1495,34,33.28571429,33,99,1140,33,12,0
11/22/2021,2,1529,477,2006,8,1185,1548,34,33.71428571,34,99,1986,34,20,0
11/23/2021,3,1380,351,1731,6,1200,1566,54,36.71428571,37,99,1714,37,17,0
11/24/2021,4,1417,437,1854,14,1213,1587,54,39.71428571,40,99,1835,40,19,0
11/25/2021,5,531,248,779,7,1101,1458,54,42.57142857,43,99,771,43,8,0
11/26/2021,6,1171,406,1577,11,1099,1460,55,45.57142857,46,99,1561,46,16,0
11/27/2021,7,972,354,1326,9,1120,1489,55,48.57142857,49,99,1313,49,13,0
11/28/2021,8,1060,402,1462,10,1151,1534,55,51.57142857,52,96,1404,50,58,2
11/29/2021,9,2326,616,2942,10,1265,1667,55,54.57142857,55,96,2824,53,118,2
11/30/2021,10,2007,530,2537,6,1355,1782,117,63.57142857,64,96,2436,61,101,3
12/1/2021,11,2180,624,2804,18,1464,1918,117,72.57142857,73,96,2692,70,112,3
12/2/2021,12,2108,619,2727,15,1689,2196,117,81.57142857,82,96,2618,79,109,3
12/3/2021,13,1893,535,2428,13,1792,2318,117,90.42857143,90,96,2331,86,97,4
12/4/2021,14,1320,441,1761,11,1842,2380,117,99.28571429,99,96,1691,95,70,4
12/5/2021,15,1405,518,1923,14,1891,2446,117,108.1428571,108,72,1385,78,538,30
12/6/2021,16,2797,738,3535,9,1959,2531,117,117,117,72,2545,84,990,33
12/7/2021,17,2923,659,3582,17,2089,2680,872,224.8571429,225,72,2579,162,1003,63
12/8/2021,18,3136,793,3929,8,2226,2841,872,332.7142857,333,72,2829,240,1100,93
12/9/2021,19,3023,756,3779,11,2357,2991,872,440.5714286,441,72,2721,318,1058,123
12/10/2021,20,3084,762,3846,16,2527,3194,872,548.4285714,548,72,2769,395,1077,153
12/11/2021,21,2159,347,2506,9,2647,3300,872,656.2857143,656,72,1804,472,702,184
12/12/2021,22,2795,768,3563,17,2845,3534,872,764.1428571,764,25,891,191,2672,573
12/13/2021,23,7529,1289,8818,21,3521,4289,873,872.1428571,872,25,2205,218,6613,654
12/14/2021,24,10880,1745,12625,20,4658,5581,2275,1072.571429,1073,25,3156,268,9469,805
12/15/2021,25,13167,1957,15124,11,6091,7180,2275,1273,1273,25,3781,318,11343,955
12/16/2021,26,13869,2202,16071,12,7640,8936,2275,1473.428571,1473,25,4018,368,12053,1105
12/17/2021,27,13554,2029,15583,23,9136,10613,2275,1673.857143,1674,25,3896,419,11687,1255
12/18/2021,28,9946,1659,11605,18,10249,11913,2275,1874.285714,1874,25,2901,469,8704,1405
12/19/2021,29,10568,1920,12488,27,11359,13188,2276,2074.857143,2075,9,1124,187,11364,1888
12/20/2021,30,27949,3258,31207,13,14276,16386,2276,2275.285714,2275,9,2809,205,28398,2070
12/21/2021,31,30413,3587,34000,11,17067,19440,3540,2456,2456,9,3060,221,30940,2235
12/22/2021,32,31408,5313,36721,32,19672,22525,3540,2636.714286,2637,9,3305,237,33416,2400
12/23/2021,33,31841,3850,35691,23,22240,25328,3540,2817.428571,2817,9,3212,254,32479,2563
12/24/2021,34,17495,2492,19987,44,22803,25957,3540,2998.142857,2998,9,1799,270,18188,2728
12/25/2021,35,7803,1294,9097,38,22497,25599,3540,3178.857143,3179,9,819,286,8278,2893
12/26/2021,36,23003,3223,26226,35,24273,27561,3540,3359.428571,3359,3,787,101,25439,3258
12/27/2021,37,51298,5768,57066,37,27609,31255,3541,3540.142857,3540,3,1712,106,55354,3434
12/28/2021,38,49755,4178,53933,39,30372,34103,2863,3443.428571,3443,3,1618,103,52315,3340
12/29/2021,39,50571,5882,56453,49,33109,36922,2863,3346.714286,3347,3,1694,100,54759,3247
12/30/2021,40,47523,5751,53274,35,35350,39434,2863,3250,3250,3,1598,98,51676,3152
12/31/2021,41,29187,3339,32526,61,37020,41225,2863,3153.285714,3153,3,976,95,31550,3058
1/1/2022,42,12069,1905,13974,68,37629,41922,2864,3056.714286,3057,3,419,92,13555,2965
1/2/2022,43,32551,3502,36053,69,38993,43326,2864,2960.142857,2960,1,361,30,35692,2930
1/3/2022,44,55058,5870,60928,77,39531,43877,2864,2863.428571,2863,1,609,29,60319,2834
1/4/2022,45,49280,5427,54707,94,39463,43988,1216,2628.142857,2628,1,547,26,54160,2602
1/5/2022,46,40284,4471,44755,87,37993,42317,1216,2392.857143,2393,1,448,24,44307,2369
1/6/2022,47,36400,3632,40032,98,36404,40425,1216,2157.571429,2158,1,400,22,39632,2136
1/7/2022,48,23222,2681,25903,105,35552,39479,1216,1922.285714,1922,1,259,19,25644,1903
1/8/2022,49,16206,2064,18270,108,36143,40093,1216,1686.857143,1687,1,183,17,18087,1670
1/9/2022,50,14363,1928,16291,126,33545,37269,1217,1451.571429,1452,0,0,0,16291,1452
1/10/2022,51,25068,3375,28443,122,29260,32629,1217,1216.285714,1216,0,0,0,28443,1216
1/11/2022,52,18546,2349,20895,147,24870,27798,565,1123.285714,1123,0,0,0,20895,1123
1/12/2022,53,18445,2194,20639,126,21750,24353,565,1030.285714,1030,0,0,0,20639,1030
1/13/2022,54,16100,1920,18020,135,18850,21209,565,937.2857143,937,0,0,0,18020,937
1/14/2022,55,13293,1634,14927,139,17432,19641,565,844.2857143,844,0,0,0,14927,844
1/15/2022,56,6760,882,7642,105,16082,18122,565,751.2857143,751,0,0,0,7642,751
1/16/2022,57,6892,902,7794,126,15015,16909,566,658.2857143,658,0,0,0,7794,658
1/17/2022,58,9835,1238,11073,111,12839,14427,566,565.2857143,565,0,0,0,11073,565
1/18/2022,59,10923,1192,12115,125,11750,13173,274,523.7142857,524,0,0,0,12115,524
1/19/2022,60,9036,974,10010,100,10406,11654,274,482.1428571,482,0,0,0,10010,482
1/20/2022,61,7044,722,7766,119,9112,10190,274,440.5714286,441,0,0,0,7766,441
1/21/2022,62,5798,645,6443,123,8041,8978,274,399,399,0,0,0,6443,399
1/22/2022,63,3633,518,4151,88,7594,8479,275,357.5714286,358,0,0,0,4151,358
1/23/2022,64,3399,500,3899,106,7095,7922,275,316,316,0,0,0,3899,316
1/24/2022,65,6016,648,6664,119,6550,7293,275,274.4285714,274,0,0,0,6664,274
1/25/2022,66,4762,469,5231,106,5670,6309,141,255.4285714,255,0,0,0,5231,255
1/26/2022,67,4197,420,4617,114,4978,5539,141,236.4285714,236,0,0,0,4617,236
1/27/2022,68,3633,356,3989,81,4491,4999,141,217.4285714,217,0,0,0,3989,217
1/28/2022,69,2725,308,3033,101,4052,4512,141,198.4285714,198,0,0,0,3033,198
1/29/2022,70,513,65,578,83,3606,4002,142,179.4285714,179,0,0,0,578,179
